时间,GPPob,GPPhour
5.5,0.007535,0.01851
6,0.011677647,0.034830588
6.5,0.063399245,0.056377358
7,0.096835775,0.080603662
7.5,0.145491538,0.121124286
8,0.19553875,0.170173942
8.5,0.263506944,0.217083241
9,0.32283783,0.258672453
9.5,0.3366477,0.2846363
10,0.398452529,0.339303678
10.5,0.413493721,0.34877093
11,0.391104474,0.342273026
11.5,0.414388023,0.358696628
12,0.401747841,0.342011136
12.5,0.398898816,0.328229211
13,0.365548354,0.313257342
13.5,0.3522305,0.29251775
14,0.364480215,0.303883656
14.5,0.356020602,0.279802048
15,0.322816489,0.257934043
15.5,0.292554773,0.220211705
16,0.2409579,0.1881726
16.5,0.205439904,0.162082596
17,0.13117789,0.119374587
17.5,0.080597143,0.080251978
18,0.041270423,0.059753521
18.5,0.013175667,0.040592667
19,0.008219583,0.032397917
19.5,0.01104,0.023135
